Granulation_Time,Binder_Amount,Drying_Temp,Drying_Time,Compression_Force,Machine_Speed,Lubricant_Conc,Moisture_Content,avg_power,max_power,power_std,avg_temperature,max_temperature,avg_vibration,power_x_time,temp_x_time,force_x_speed,power_temp_ratio,moisture_drying,Predicted_Energy_kWh,Predicted_Dissolution_Rate,Carbon_kg
38.7883275813976,5.268505354461877,71.00911333288782,19.29603534572871,17.17125755335195,65.20883324389658,1.0897837469361384,2.027934827983824,21.0,57.5,15.9,35.2,66.5,2.8,1219.7716214696527,1370.1943607402593,1119.7176703845269,0.580110497237569,39.13110211961014,25.371136,91.80078,17.759794
80.82615571550355,5.313916879034992,73.23544599564728,17.80017515963836,17.04619589337444,67.65117241727121,1.8942700266813741,1.6189707888662577,21.0,57.5,15.9,35.2,66.5,2.8,2071.15294837798,1303.6037666167574,1153.1951374412547,0.580110497237569,28.81796362015728,25.371136,91.80078,17.759794
39.745168817478174,5.952386516325314,74.02619777337884,17.925262514618403,17.815054605580084,50.810168194537866,0.7429844826387563,1.5644069438191373,21.0,57.5,15.9,35.2,66.5,2.8,1211.079057974028,1326.939028046876,905.1859209044005,0.580110497237569,28.04240514764992,25.371136,91.80078,17.759794
73.3252591169507,5.4113612542985345,71.23364474696052,18.70016043900061,17.137519035098048,50.09430687156534,0.6233085817256785,1.8643439315896342,21.0,57.5,15.9,35.2,66.5,2.8,1932.5338106749778,1332.0805854229347,858.4921375614939,0.580110497237569,34.863530634203336,25.371136,91.80078,17.759794
54.04602105181493,5.60578835707883,73.51435194787047,17.356621288064826,17.651251311971865,48.99254789708705,1.5743079215904072,2.690198920999597,21.0,57.5,15.9,35.2,66.5,2.8,1499.455489137475,1275.9607659966985,864.7797753453023,0.580110497237569,46.692763861350635,25.371136,91.46594,17.759794
74.13970151712422,6.0202302093891555,72.55453591675538,18.459280085141213,16.62262611966764,45.417923280752355,1.117281096328677,1.6759966092390055,21.0,57.5,15.9,35.2,66.5,2.8,1944.5786136475742,1339.3044999348256,754.9651578276951,0.580110497237569,30.937690831689775,25.371857,91.84735,17.7603
87.50592500532713,6.012097681054675,74.14645995340075,15.568326315817464,16.63138904721378,48.677310808982455,1.9926872982912958,2.51844144466836,21.0,57.5,15.9,35.2,66.5,2.8,2164.5592777440365,1154.3362837172347,809.5712938363317,0.580110497237569,39.20791821787578,25.371857,91.781555,17.7603
41.43922414869009,5.702600097902429,72.84643573890251,17.852913465373398,16.661519505763792,46.08469635675424,1.2351763401743812,2.2516783893300176,21.0,57.5,15.9,35.2,66.5,2.8,1245.1348898953331,1300.5211135075106,767.8410672652624,0.580110497237569,40.19901943656016,25.371857,91.84735,17.7603
78.00229428778249,5.36651593963755,71.73084095816546,18.98610228625194,16.541733511592213,64.65613356673653,0.9555016514818779,1.6552246680201013,21.0,57.5,15.9,35.2,66.5,2.8,2036.7563280547229,1361.8890835105994,1069.5245313508678,0.580110497237569,31.42626485375705,25.371857,91.84735,17.7603
70.60838574665823,6.113118655176484,56.53636008613279,24.285108193303184,17.976121094425622,44.55639724693033,1.7649074071056738,1.845564399720529,21.0,57.5,15.9,35.2,66.5,2.8,1992.7633727391897,1372.9916215472824,800.951192442152,0.580110497237569,44.819731124921695,25.403082,92.29309,17.782158
57.349066206616655,5.519196981769503,57.30680105855227,20.24443654189959,17.925962266983245,49.558205608767935,1.3988343611065925,2.773230068559511,21.0,57.5,15.9,35.2,66.5,2.8,1629.463557718841,1160.1438974491255,888.3785237621714,0.580110497237569,56.14248013904086,25.40532,91.69237,17.783724
70.88327617936935,5.286755705803065,72.68996716855035,15.242723127425545,16.026802366368695,45.62100277669882,0.7806990222041743,1.6133521069392174,21.0,57.5,15.9,35.2,66.5,2.8,1808.6459854426928,1107.993043691866,731.1587952577095,0.580110497237569,24.59187947312314,25.413042,91.84735,17.78913
